Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Revenue,Month,Year
1,2023-11-24 00:00:00,CUST001,Male,34,Beauty,3,50,150,450,11,2023
2,2023-02-27 00:00:00,CUST002,Female,26,Clothing,2,500,1000,2000,2,2023
3,2023-01-13 00:00:00,CUST003,Male,50,Electronics,1,30,30,30,1,2023
4,2023-05-21 00:00:00,CUST004,Male,37,Clothing,1,500,500,500,5,2023
5,2023-05-06 00:00:00,CUST005,Male,30,Beauty,2,50,100,200,5,2023
6,2023-04-25 00:00:00,CUST006,Female,45,Beauty,1,30,30,30,4,2023
7,2023-03-13 00:00:00,CUST007,Male,46,Clothing,2,25,50,100,3,2023
8,2023-02-22 00:00:00,CUST008,Male,30,Electronics,4,25,100,400,2,2023
9,2023-12-13 00:00:00,CUST009,Male,63,Electronics,2,300,600,1200,12,2023
10,2023-10-07 00:00:00,CUST010,Female,52,Clothing,4,50,200,800,10,2023
11,2023-02-14 00:00:00,CUST011,Male,23,Clothing,2,50,100,200,2,2023
12,2023-10-30 00:00:00,CUST012,Male,35,Beauty,3,25,75,225,10,2023
13,2023-08-05 00:00:00,CUST013,Male,22,Electronics,3,500,1500,4500,8,2023
14,2023-01-17 00:00:00,CUST014,Male,64,Clothing,4,30,120,480,1,2023
15,2023-01-16 00:00:00,CUST015,Female,42,Electronics,4,500,2000,8000,1,2023
16,2023-02-17 00:00:00,CUST016,Male,19,Clothing,3,500,1500,4500,2,2023
17,2023-04-22 00:00:00,CUST017,Female,27,Clothing,4,25,100,400,4,2023
18,2023-04-30 00:00:00,CUST018,Female,47,Electronics,2,25,50,100,4,2023
19,2023-09-16 00:00:00,CUST019,Female,62,Clothing,2,25,50,100,9,2023
20,2023-11-05 00:00:00,CUST020,Male,22,Clothing,3,300,900,2700,11,2023
21,2023-01-14 00:00:00,CUST021,Female,50,Beauty,1,500,500,500,1,2023
22,2023-10-15 00:00:00,CUST022,Male,18,Clothing,2,50,100,200,10,2023
23,2023-04-12 00:00:00,CUST023,Female,35,Clothing,4,30,120,480,4,2023
24,2023-11-29 00:00:00,CUST024,Female,49,Clothing,1,300,300,300,11,2023
25,2023-12-26 00:00:00,CUST025,Female,64,Beauty,1,50,50,50,12,2023
26,2023-10-07 00:00:00,CUST026,Female,28,Electronics,2,500,1000,2000,10,2023
27,2023-08-03 00:00:00,CUST027,Female,38,Beauty,2,25,50,100,8,2023
28,2023-04-23 00:00:00,CUST028,Female,43,Beauty,1,500,500,500,4,2023
29,2023-08-18 00:00:00,CUST029,Female,42,Electronics,1,30,30,30,8,2023
30,2023-10-29 00:00:00,CUST030,Female,39,Beauty,3,300,900,2700,10,2023
31,2023-05-23 00:00:00,CUST031,Male,44,Electronics,4,300,1200,4800,5,2023
32,2023-01-04 00:00:00,CUST032,Male,30,Beauty,3,30,90,270,1,2023
33,2023-03-23 00:00:00,CUST033,Female,50,Electronics,2,50,100,200,3,2023
34,2023-12-24 00:00:00,CUST034,Female,51,Clothing,3,50,150,450,12,2023
35,2023-08-05 00:00:00,CUST035,Female,58,Beauty,3,300,900,2700,8,2023
36,2023-06-24 00:00:00,CUST036,Male,52,Beauty,3,300,900,2700,6,2023
37,2023-05-23 00:00:00,CUST037,Female,18,Beauty,3,25,75,225,5,2023
38,2023-03-21 00:00:00,CUST038,Male,38,Beauty,4,50,200,800,3,2023
39,2023-04-21 00:00:00,CUST039,Male,23,Clothing,4,30,120,480,4,2023
40,2023-06-22 00:00:00,CUST040,Male,45,Beauty,1,50,50,50,6,2023
41,2023-02-22 00:00:00,CUST041,Male,34,Clothing,2,25,50,100,2,2023
42,2023-02-17 00:00:00,CUST042,Male,22,Clothing,3,300,900,2700,2,2023
43,2023-07-14 00:00:00,CUST043,Female,48,Clothing,1,300,300,300,7,2023
44,2023-02-19 00:00:00,CUST044,Female,22,Clothing,1,25,25,25,2,2023
45,2023-07-03 00:00:00,CUST045,Female,55,Electronics,1,30,30,30,7,2023
46,2023-06-26 00:00:00,CUST046,Female,20,Electronics,4,300,1200,4800,6,2023
47,2023-11-06 00:00:00,CUST047,Female,40,Beauty,3,500,1500,4500,11,2023
48,2023-05-16 00:00:00,CUST048,Male,54,Electronics,3,300,900,2700,5,2023
49,2023-01-23 00:00:00,CUST049,Female,54,Electronics,2,500,1000,2000,1,2023
50,2023-08-24 00:00:00,CUST050,Female,27,Beauty,3,25,75,225,8,2023
51,2023-10-02 00:00:00,CUST051,Male,27,Beauty,3,25,75,225,10,2023
52,2023-03-05 00:00:00,CUST052,Female,36,Beauty,1,300,300,300,3,2023
53,2023-07-13 00:00:00,CUST053,Male,34,Electronics,2,50,100,200,7,2023
54,2023-02-10 00:00:00,CUST054,Female,38,Electronics,3,500,1500,4500,2,2023
55,2023-10-10 00:00:00,CUST055,Male,31,Beauty,4,30,120,480,10,2023
56,2023-05-31 00:00:00,CUST056,Female,26,Clothing,3,300,900,2700,5,2023
